2025-04-11T12:26:12+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.46, 0.29, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches","branch-instructions","branch-misses","cache-misses","cycles","instructions"
"BM_JoinLinBin64/52428800/52428800/1/iterations:5",5,417.878,417.852,ms,,,,,,0,5.24288e+07,8.38861e+08,19,1.30635e+07,1.57744e+09,6.23903e+09
"BM_JoinLinBin64/52428800/52428800/2/iterations:5",5,237.262,237.263,ms,,,,,,0,5.24288e+07,4.45645e+08,12.8,9.71217e+06,8.95369e+08,3.25059e+09
"BM_JoinLinBin64/52428800/52428800/4/iterations:5",5,134.496,134.485,ms,,,,,,0,5.24288e+07,2.49037e+08,11,8.03666e+06,5.07427e+08,1.75637e+09
"BM_JoinLinBin64/52428800/52428800/8/iterations:5",5,85.5827,85.5843,ms,,,,,,0,5.24288e+07,1.57287e+08,37.2,7.1906e+06,3.22958e+08,1.03547e+09
"BM_JoinLinBin64/52428800/52428800/16/iterations:5",5,61.6593,61.6603,ms,,,,,,0,5.24288e+07,1.11411e+08,49.2,6.76311e+06,2.32585e+08,6.75021e+08
"BM_JoinLinBin64/52428800/52428800/32/iterations:5",5,50.9462,50.947,ms,,,,,,0,5.24288e+07,8.84737e+07,63.4,6.54518e+06,1.92217e+08,4.94797e+08
"BM_JoinLinBin64/52428800/52428800/64/iterations:5",5,45.2535,45.2542,ms,,,,,,0,5.24288e+07,7.70049e+07,65.6,6.4258e+06,1.70716e+08,4.04685e+08
"BM_JoinLinBin64/52428800/52428800/128/iterations:5",5,119.096,119.098,ms,,,,,,0,5.24288e+07,6.22389e+07,3788.4,7.62226e+06,4.49042e+08,3.07806e+08
"BM_JoinLinBin64/52428800/52428800/256/iterations:5",5,73.5317,73.533,ms,,,,,,0,5.24288e+07,3.12792e+07,10148.4,6.12446e+06,2.77343e+08,1.54703e+08
"BM_JoinLinBin64/52428800/52428800/512/iterations:5",5,38.9582,38.9588,ms,,,,,,0,5.24288e+07,1.57055e+07,20086,3.07465e+06,1.46887e+08,7.76805e+07
"BM_JoinLinBin64/52428800/52428800/1024/iterations:5",5,19.4462,19.4465,ms,,,,,,0,5.24288e+07,7.88215e+06,33011,1.46592e+06,7.33056e+07,3.89877e+07
"BM_JoinLinBin64/52428800/52428800/2048/iterations:5",5,9.18734,9.18737,ms,,,,,,0,5.24288e+07,3.95353e+06,45366.4,649711,3.46683e+07,1.95562e+07
"BM_JoinLinBin128/1048576/1048576/1/iterations:5",5,8.70617,8.70626,ms,,,,,,0,1.04858e+06,1.67772e+07,15.8,5742.6,3.28782e+07,1.25829e+08
"BM_JoinLinBin128/1048576/1048576/2/iterations:5",5,4.57997,4.58001,ms,,,,,,0,1.04858e+06,8.91292e+06,9.6,38.6,1.73075e+07,6.55361e+07
"BM_JoinLinBin128/1048576/1048576/4/iterations:5",5,2.56831,2.56836,ms,,,,,,0,1.04858e+06,4.98076e+06,9.2,11.6,9.70327e+06,3.53896e+07
"BM_JoinLinBin128/1048576/1048576/8/iterations:5",5,1.60112,1.60116,ms,,,,,,0,1.04858e+06,3.14575e+06,8.8,7.2,6.03342e+06,2.08406e+07
"BM_JoinLinBin128/1048576/1048576/16/iterations:5",5,1.11338,1.11336,ms,,,,,,0,1.04858e+06,2.22825e+06,9.4,8.4,4.19899e+06,1.35661e+07
"BM_JoinLinBin128/1048576/1048576/32/iterations:5",5,0.869589,0.869545,ms,,,,,,0,1.04858e+06,1.7695e+06,11.2,4.8,3.2807e+06,9.92884e+06
"BM_JoinLinBin128/1048576/1048576/64/iterations:5",5,0.748594,0.748579,ms,,,,,,0,1.04858e+06,1.54012e+06,12.8,2.2,2.82295e+06,8.11021e+06
"BM_JoinLinBin128/1048576/1048576/128/iterations:5",5,0.688929,0.688885,ms,,,,,,0,1.04858e+06,1.42543e+06,13.4,1,2.59593e+06,7.2009e+06
"BM_JoinLinBin128/1048576/1048576/256/iterations:5",5,0.567646,0.567593,ms,,,,,,0,1.04858e+06,905774,3470,16.6,2.1398e+06,4.45656e+06
"BM_JoinLinBin128/1048576/1048576/512/iterations:5",5,0.350812,0.350768,ms,,,,,,0,1.04858e+06,454629,6326,9.4,1.31999e+06,2.23709e+06
"BM_JoinLinBin128/1048576/1048576/1024/iterations:5",5,0.194114,0.19408,ms,,,,,,0,1.04858e+06,227911,4936.8,11.8,729863,1.12155e+06
"BM_JoinLinBin128/1048576/1048576/2048/iterations:5",5,0.107701,0.107625,ms,,,,,,0,1.04858e+06,114206,2964.4,1.8,405068,562037
"BM_JoinLinBin128/10485760/10485760/1/iterations:5",5,87.0272,87.0287,ms,,,,,,0,1.04858e+07,1.67772e+08,17.2,2.41368e+06,3.28618e+08,1.25829e+09
"BM_JoinLinBin128/10485760/10485760/2/iterations:5",5,46.0985,46.0993,ms,,,,,,0,1.04858e+07,8.9129e+07,10,1.85825e+06,1.74089e+08,6.5536e+08
"BM_JoinLinBin128/10485760/10485760/4/iterations:5",5,26.17,26.1703,ms,,,,,,0,1.04858e+07,4.98074e+07,9.8,1.52315e+06,9.88036e+07,3.53895e+08
"BM_JoinLinBin128/10485760/10485760/8/iterations:5",5,16.8192,16.8033,ms,,,,,,0,1.04858e+07,3.14573e+07,13.8,1.34804e+06,6.34595e+07,2.08405e+08
"BM_JoinLinBin128/10485760/10485760/16/iterations:5",5,12.1914,12.1915,ms,,,,,,0,1.04858e+07,2.22823e+07,16.4,1.25508e+06,4.6014e+07,1.3566e+08
"BM_JoinLinBin128/10485760/10485760/32/iterations:5",5,9.94419,9.94426,ms,,,,,,0,1.04858e+07,1.76948e+07,18.8,1.20592e+06,3.74831e+07,9.92872e+07
"BM_JoinLinBin128/10485760/10485760/64/iterations:5",5,9.00757,9.00752,ms,,,,,,0,1.04858e+07,1.5401e+07,21.4,1.17727e+06,3.40115e+07,8.11009e+07
"BM_JoinLinBin128/10485760/10485760/128/iterations:5",5,8.50585,8.50583,ms,,,,,,0,1.04858e+07,1.42541e+07,32.6,1.15766e+06,3.20775e+07,7.20078e+07
"BM_JoinLinBin128/10485760/10485760/256/iterations:5",5,14.6958,14.6958,ms,,,,,,0,1.04858e+07,9.33431e+06,5815.4,810952,5.53768e+07,4.58129e+07
"BM_JoinLinBin128/10485760/10485760/512/iterations:5",5,8.06649,8.0657,ms,,,,,,0,1.04858e+07,4.68252e+06,13655.6,466370,3.03413e+07,2.29841e+07
